[18:14:11.082]	TCP Server Open (Port : 25007)
[18:14:49.632]	TCP Server Open (Port : 25007)
[18:15:10.600]	TCP Server Open (Port : 25007)
[18:19:01.355]	TCP Server Open (Port : 25007)
[18:19:27.019]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-41/BPN_2,-42/BPN_1,-39/BPN_4,-41
[18:19:27.471]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-29
[18:19:28.374]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:29.126]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-52
[18:19:29.579]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:29.579]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-11/BPN_2,-44/BPN_1,-10/BPN_4,-41
[18:19:29.579]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:30.483]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:19:31.537]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:31.537]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-40/BPN_2,-45/BPN_1,-11/BPN_4,-37
[18:19:32.441]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-59
[18:19:33.043]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:33.495]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:33.495]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-39/BPN_2,-40/BPN_1,-44/BPN_4,-36
[18:19:33.495]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:19:34.400]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-44
[18:19:35.002]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:19:35.454]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:36.057]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:36.057]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-11/BPN_2,-43/BPN_1,-42/BPN_4,-38
[18:19:36.509]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-45
[18:19:37.112]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-49
[18:19:37.864]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:37.864]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-8/BPN_2,-48/BPN_1,-12/BPN_4,-40
[18:19:38.467]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-59
[18:19:39.070]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-46
[18:19:39.522]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-40
[18:19:39.974]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:39.974]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-8/BPN_2,-45/BPN_1,-44/BPN_4,-12
[18:19:40.425]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-44
[18:19:41.027]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-50
[18:19:41.479]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-51
[18:19:42.080]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:42.531]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:43.135]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:19:43.586]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-59
[18:19:44.189]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:44.189]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-35/BPN_2,-43/BPN_1,-45/BPN_4,-42
[18:19:44.640]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-59
[18:19:45.092]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-42
[18:19:45.544]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-46
[18:19:46.297]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:46.297]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-40/BPN_2,-13/BPN_1,-42/BPN_4,-11
[18:19:46.297]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-44
[18:19:47.048]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:19:47.500]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:19:48.405]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:48.405]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-45
[18:19:49.007]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-36
[18:19:50.363]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:50.363]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-38/BPN_2,-39/BPN_1,-48/BPN_4,-18
[18:19:50.363]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-57
[18:19:51.116]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:19:51.567]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-39
[18:19:52.471]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:52.471]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-10/BPN_2,-13/BPN_1,-48/BPN_4,-41
[18:19:52.471]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:53.074]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:19:53.526]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-68
[18:19:54.429]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:54.429]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:19:55.031]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-47
[18:19:55.483]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:19:56.387]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-58
[18:19:56.839]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:56.839]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-19/BPN_2,-44/BPN_1,-44/BPN_4,-40
[18:19:56.839]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-45
[18:19:57.441]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:19:58.343]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:12,-47
[18:19:58.945]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:19:58.945]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-10/BPN_2,-44/BPN_1,-49/BPN_4,-8
[18:19:58.945]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-49
[18:19:59.397]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:00.449]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:01.050]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:01.050]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-17/BPN_2,-43/BPN_1,-14/BPN_4,-43
[18:20:01.050]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-40
[18:20:01.502]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:20:02.404]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-59
[18:20:03.006]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:03.006]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-40/BPN_2,-21/BPN_1,-41/BPN_4,-37
[18:20:03.006]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:03.457]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:20:04.360]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-44
[18:20:05.113]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:05.113]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-6/BPN_2,-21/BPN_1,-10/BPN_4,-41
[18:20:05.113]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:20:05.564]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:06.467]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:20:07.069]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:07.069]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-8/BPN_2,-13/BPN_1,-43/BPN_4,-20
[18:20:07.069]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-48
[18:20:07.521]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:20:08.424]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-59
[18:20:09.027]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:09.478]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:09.478]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-43/BPN_2,-44/BPN_1,-43/BPN_4,-33
[18:20:09.478]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:20:10.380]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-44
[18:20:11.133]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-49
[18:20:11.584]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:11.584]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-7/BPN_2,-15/BPN_1,-45/BPN_4,-80
[18:20:11.584]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:12.488]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-32
[18:20:13.091]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:13.542]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:13.542]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-8/BPN_2,-15/BPN_1,-11/BPN_4,-10
[18:20:13.542]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-49
[18:20:14.597]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-46
[18:20:15.049]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-44
[18:20:15.502]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:15.502]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-42/BPN_2,-44/BPN_1,-47/BPN_4,-42
[18:20:15.502]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:20:16.405]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-56
[18:20:17.008]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:20:17.611]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-36
[18:20:18.063]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:18.063]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-10/BPN_2,-10/BPN_1,-13/BPN_4,-43
[18:20:18.515]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:19.117]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-34
[18:20:19.569]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-50
[18:20:20.020]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:20.020]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-38/BPN_2,-44/BPN_1,-44/BPN_4,-38
[18:20:20.472]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-47
[18:20:21.074]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-46
[18:20:21.526]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-45
[18:20:21.977]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
[18:20:21.977]	[<<-RECV] :175.223.31.240, 	0001WBPN_3,-13/BPN_2,-41/BPN_1,-18/BPN_4,-38
[18:20:22.429]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:0e,-60
[18:20:23.031]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:11,-51
[18:20:23.483]	[<<-RECV] :175.223.31.240, 	0001B50:8d:6f:b0:02:14,-54
[18:20:24.084]	[<<-RECV] :175.223.31.240, 	0001GF000.0000F000.0000
