[13:00:22.765]	TCP Server Open (Port : 25007)
[13:00:27.632]	[CONNECT] :175.223.31.159	CONNECTED SOCKET
[13:00:28.387]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:28.387]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-17/BPN_2,-41/BPN_1,-55/BPN_4,-25
[13:00:28.387]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-40
[13:00:44.833]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:44.983]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:44.983]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:44.983]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-9/BPN_2,-42/BPN_1,-21/BPN_4,-39
[13:00:44.983]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-50
[13:00:44.983]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-42
[13:00:45.134]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-51
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-51
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-52
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-40/BPN_2,-42/BPN_1,-51/BPN_4,-39
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-27
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-56
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-38
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-38/BPN_2,-42/BPN_1,-58/BPN_4,-29
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-42
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-56
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-48
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-47/BPN_2,-41/BPN_1,-42/BPN_4,-35
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-51
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-52
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-7/BPN_2,-41/BPN_1,-44/BPN_4,-17
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-55
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-17/BPN_2,-43/BPN_1,-60/BPN_4,-15
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-42
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-39
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-49
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-37/BPN_2,-8/BPN_1,-60/BPN_4,-38
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:12,-50
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-42
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-12/BPN_2,-15/BPN_1,-41/BPN_4,-75
[13:00:45.285]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:12,-47
[13:00:49.095]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:00:50.962]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-54
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-18/BPN_2,-37/BPN_1,-59/BPN_4,-16
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-51
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-38/BPN_2,-14/BPN_1,-59/BPN_4,-38
[13:00:52.450]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:00:52.877]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-18/BPN_2,-37/BPN_1,-59/BPN_4,-16
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-51
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-38/BPN_2,-14/BPN_1,-59/BPN_4,-38
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-51
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-10/BPN_2,-20/BPN_1,-34/BPN_4,-16
[13:00:52.878]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-42
[13:00:53.068]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-55
[13:00:53.068]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-38
[13:00:53.253]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-44
[13:00:53.436]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:53.436]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-25/BPN_2,-40/BPN_1,-33/BPN_4,-14
[13:00:53.436]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:00:53.995]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-33
[13:00:54.979]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:00:55.364]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:55.364]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-16/BPN_2,-9/BPN_1,-39/BPN_4,-7
[13:00:56.019]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-51
[13:00:57.043]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:12,-48
[13:00:58.511]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:00:58.511]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-10/BPN_2,-40/BPN_1,-51/BPN_4,-16
[13:00:58.511]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-55
[13:00:59.060]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-40
[13:00:59.259]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:01:05.716]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:01:05.716]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-41/BPN_2,-39/BPN_1,-51/BPN_4,-15
[13:01:05.716]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-41/BPN_2,-39/BPN_1,-51/BPN_4,-15
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:11,-54
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:14,-50
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:0e,-43
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001GF000.0000F000.0000
[13:01:06.720]	[<<-RECV] :175.223.31.159, 	0001WBPN_3,-40/BPN_2,-32/BPN_1,-51/BPN_4,-43
[13:01:06.721]	[<<-RECV] :175.223.31.159, 	0001B50:8d:6f:b0:02:12,-50
