[14:00:00.067]	TCP Server Open (Port : 25007)
[14:00:01.408]	[CONNECT] :175.223.31.144,	CONNECTED SOCKET
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-9/BPN_2,-43/BPN_1,-12/BPN_4,-40
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-51
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-48
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-35
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-61
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-42/BPN_2,-28/BPN_1,-45/BPN_4,-25
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-32
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-59
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-41/BPN_2,-12/BPN_1,-14/BPN_4,-16
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-37
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-50
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-42/BPN_2,-10/BPN_1,-11/BPN_4,-41
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-33
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-35
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-51
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-39/BPN_2,-42/BPN_1,-42/BPN_4,-43
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-48
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-52
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-44
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-43/BPN_2,-38/BPN_1,-45/BPN_4,-40
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-37
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-56
[14:00:14.053]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-48
[14:00:14.506]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-48
[14:00:14.957]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:14.957]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-18/BPN_2,-47/BPN_1,-11/BPN_4,-53
[14:00:14.957]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-38
[14:00:15.861]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:12,-47
[14:00:16.464]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-46
[14:00:16.916]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:16.916]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-45
[14:00:17.821]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-58
[14:00:18.423]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-52
[14:00:18.875]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:18.875]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-9/BPN_2,-11/BPN_1,-45/BPN_4,-13
[14:00:18.875]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-56
[14:00:19.778]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:0e,-48
[14:00:20.381]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-48
[14:00:20.833]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
[14:00:20.833]	[<<-RECV] :175.223.31.144, 	0001WBPN_3,-37/BPN_2,-38/BPN_1,-44/BPN_4,-38
[14:00:20.833]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:14,-41
[14:00:21.736]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:12,-46
[14:00:22.490]	[<<-RECV] :175.223.31.144, 	0001B50:8d:6f:b0:02:11,-32
[14:00:22.941]	[<<-RECV] :175.223.31.144, 	0001GF000.0000F000.0000
