[12:36:26.716]	TCP Server Open (Port : 25007)
[12:40:37.867]	[CONNECT] :39.7.52.237	CONNECTED SOCKET
[12:40:38.623]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:39.528]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:41.635]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:43.744]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:45.852]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:47.959]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:50.068]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:52.177]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:54.284]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:56.393]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:40:58.501]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:00.612]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:02.719]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:04.828]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:06.936]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:09.045]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:11.003]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:13.111]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:15.218]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:17.328]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:19.435]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:21.547]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:23.655]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:25.763]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:27.869]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:29.977]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:32.085]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:34.195]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:36.302]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:38.409]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:40.518]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:42.624]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:44.734]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:46.843]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:48.801]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:50.910]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:53.019]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:55.127]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
[12:41:57.235]	[<<-RECV] :39.7.52.237, 	0001GF000.0000F000.0000
