[14:00:00.006]	[<<-RECV] :39.7.52.220, 	0001B50:8d:6f:b0:02:14,-75
[14:00:01.059]	[<<-RECV] :39.7.52.220, 	0001B50:8d:6f:b0:02:11,-72
[14:00:01.661]	[<<-RECV] :39.7.52.220, 	0001GF000.0000F000.0000
[14:00:33.004]	[CONNECT] :175.223.31.246	CONNECTED SOCKET
[14:00:33.608]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:34.663]	[<<-RECV] :175.223.31.246, 	AT$$TCPOPEN=58.231.100.202,25007
[14:00:36.619]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:38.727]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:40.837]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:42.793]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:45.050]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:47.007]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:49.116]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:51.223]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:53.482]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:55.440]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:57.546]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:00:59.652]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:01.760]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:03.867]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:05.976]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:08.084]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:10.192]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:12.301]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:14.410]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:16.519]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:18.629]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:20.739]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:22.845]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:24.804]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:26.911]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:29.020]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:31.127]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:33.234]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:35.342]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:37.451]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:39.560]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:41.669]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:43.776]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:45.885]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:47.992]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:50.100]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:52.207]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:54.315]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:56.421]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:01:58.529]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:00.637]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:02.745]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:04.702]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:04.702]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-80
[14:02:05.154]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-65
[14:02:06.659]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-78
[14:02:07.111]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:07.111]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-69
[14:02:07.864]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-78
[14:02:08.617]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:12,-68
[14:02:09.070]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:09.070]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-73
[14:02:09.822]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-72
[14:02:10.574]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:12,-53
[14:02:11.176]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:11.176]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-65
[14:02:11.778]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-58
[14:02:12.681]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-78
[14:02:13.132]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:13.132]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-68
[14:02:14.638]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-70
[14:02:15.089]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:15.089]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-74
[14:02:15.840]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-71
[14:02:16.593]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-76
[14:02:17.045]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-65
[14:02:17.497]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:17.949]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-73
[14:02:18.703]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-78
[14:02:19.154]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-69
[14:02:19.605]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:20.057]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-77
[14:02:20.658]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-70
[14:02:21.111]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-73
[14:02:21.563]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:22.015]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-71
[14:02:22.617]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:12,-67
[14:02:23.070]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-51
[14:02:23.673]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:23.673]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-72
[14:02:24.576]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-77
[14:02:25.780]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:25.780]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-80
[14:02:26.682]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-71
[14:02:27.134]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-71
[14:02:27.887]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:27.887]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-76
[14:02:28.639]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-82
[14:02:29.091]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-55
[14:02:29.844]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:29.844]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-73
[14:02:30.596]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-80
[14:02:31.049]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-68
[14:02:31.802]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-76
[14:02:32.253]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:32.706]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-72
[14:02:33.157]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-64
[14:02:33.908]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-80
[14:02:34.361]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:34.812]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:12,-69
[14:02:35.264]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-70
[14:02:35.865]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-66
[14:02:36.317]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:36.769]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-87
[14:02:37.220]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-68
[14:02:37.823]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-58
[14:02:38.425]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:38.878]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:0e,-72
[14:02:39.329]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-68
[14:02:39.781]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:14,-50
[14:02:40.534]	[<<-RECV] :175.223.31.246, 	0001GF000.0000F000.0000
[14:02:40.534]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:12,-68
[14:02:41.136]	[<<-RECV] :175.223.31.246, 	0001B50:8d:6f:b0:02:11,-69
