[18:42:58.694]	TCP Server Open (Port : 25007)
[18:43:02.749]	[CONNECT] :175.223.31.242	CONNECTED SOCKET
[18:43:03.504]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2804
[18:43:03.504]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:12,-63
[18:43:25.343]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-71
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-71
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2804
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:14,-72
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:12,-69
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2804
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:11,-72
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-66
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2804
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:14,-67
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:12,-60
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2804
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:11,-59
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-63
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:14,-65
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:11,-67
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-71
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:14,-72
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:12,-63
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:11,-72
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:10,-64
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:0e,-60
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001B50:8d:6f:b0:02:12,-70
[18:43:28.146]	[<<-RECV] :175.223.31.242	0001GN035.5633E129.2805
