[20:00:08.938]	TCP Server Open (Port : 25007)
[20:00:26.927]	[CONNECT] :39.7.52.123	CONNECTED SOCKET
[20:00:27.681]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:00:28.135]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:00:29.038]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:00:30.091]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:00:31.146]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:00:32.048]	[<<-RECV] :39.7.52.123, 	0001GF000.0000F000.0000
[20:01:02.520]	TCP Server Open (Port : 25007)
[20:01:04.780]	[CONNECT] :39.7.52.139	CONNECTED SOCKET
[20:01:05.535]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:06.138]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:07.042]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:08.096]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:09.149]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:10.053]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:11.108]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:12.163]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:13.066]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:14.122]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:15.025]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:16.080]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:17.133]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:18.036]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:19.090]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:20.144]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:21.048]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:22.100]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:23.004]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:24.057]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:25.113]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:26.016]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:27.071]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:28.125]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:29.029]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:30.083]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:01:30.083]	[<<-RECV] :39.7.52.139, 	0001B50:8d:6f:b0:02:12,-54
[20:02:09.486]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:02:09.486]	[<<-RECV] :39.7.52.139, 	0001B50:8d:6f:b0:02:11,-49
[20:02:10.252]	[<<-RECV] :39.7.52.139, 	0001B50:8d:6f:b0:02:10,-50
[20:02:10.252]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:02:10.252]	[<<-RECV] :39.7.52.139, 	0001B50:8d:6f:b0:02:14,-55
[20:02:10.252]	[<<-RECV] :39.7.52.139, 	0001B50:8d:6f:b0:02:12,-56
[20:02:10.252]	[<<-RECV] :39.7.52.139, 	0001GF000.0000F000.0000
[20:02:56.024]	TCP Server Open (Port : 25007)
[20:02:59.368]	[CONNECT] :39.7.52.50	CONNECTED SOCKET
[20:02:59.820]	[<<-RECV] :39.7.52.50, 	0001GF000.0000F000.0000
[20:02:59.820]	[<<-RECV] :39.7.52.50, 	0001B50:8d:6f:b0:02:14,-54
[20:03:00.272]	[<<-RECV] :39.7.52.50, 	0001GF000.0000F000.0000
[20:03:00.272]	[<<-RECV] :39.7.52.50, 	0001B50:8d:6f:b0:02:12,-50
[20:03:37.508]	[<<-RECV] :39.7.52.50, 	0001GF000.0000F000.0000
[20:03:37.508]	[<<-RECV] :39.7.52.50, 	0001B50:8d:6f:b0:02:11,-46
[20:03:38.040]	[<<-RECV] :39.7.52.50, 	0001GF000.0000F000.0000
[20:03:38.040]	[<<-RECV] :39.7.52.50, 	0001B50:8d:6f:b0:02:11,-46
[20:03:38.040]	[<<-RECV] :39.7.52.50, 	0001B50:8d:6f:b0:02:10,-51
[20:03:38.040]	[<<-RECV] :39.7.52.50, 	0001GF000.0000F000.0000
[20:04:27.841]	TCP Server Open (Port : 25007)
[20:04:28.958]	[CONNECT] :39.7.52.55	CONNECTED SOCKET
[20:04:29.410]	[<<-RECV] :39.7.52.55, 	0001GF000.0000F000.0000
[20:04:29.410]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:10,-55
[20:04:33.138]	[<<-RECV] :39.7.52.55, 	0001GF000.0000F000.0000
[20:04:33.138]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:14,-54
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:12,-49
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001GF000.0000F000.0000
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:10,-51
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001GF000.0000F000.0000
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:14,-66
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001B50:8d:6f:b0:02:12,-52
[20:04:33.690]	[<<-RECV] :39.7.52.55, 	0001GF000.0000F000.0000
