[01:00:00.329]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-51
[01:00:00.931]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:00.931]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-53
[01:00:01.834]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:01.834]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-49
[01:00:02.285]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[01:00:02.887]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:02.887]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-65
[01:00:03.791]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:03.791]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-50
[01:00:04.393]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[01:00:04.846]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:04.846]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-55
[01:00:05.749]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:05.749]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-52
[01:00:06.352]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[01:00:06.955]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:07.708]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:07.708]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-47
[01:00:08.311]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[01:00:08.913]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:09.815]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:09.815]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-51
[01:00:10.418]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[01:00:10.870]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:10.870]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[01:00:11.774]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:11.774]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-52
[01:00:12.375]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[01:00:12.977]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:12.977]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-41
[01:00:13.730]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:13.730]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-48
[01:00:14.332]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[01:00:14.933]	[<<-RECV] :39.7.52.91, 	0001GF035.5634F129.2806
[01:00:14.933]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-63
