[12:48:40.693]	TCP Server Open (Port : 25007)
[12:49:40.293]	[CONNECT] :175.223.31.149,	CONNECTED SOCKET
[12:49:41.046]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:41.800]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:43.909]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:45.864]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:47.973]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:50.081]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:52.189]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:54.297]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:56.404]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:49:58.511]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:00.620]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:02.729]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:04.836]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:06.944]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:09.052]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:11.159]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:13.267]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:15.375]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:17.483]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:19.591]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:21.702]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:23.808]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:25.765]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:27.871]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:29.981]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:32.088]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:34.194]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:36.301]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:38.410]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:40.518]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:41.572]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-26
[12:50:42.174]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-45
[12:50:42.626]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:42.626]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-25/BPN_4,-58/BPN_2,-49/BPN_3,-70
[12:50:43.078]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-46
[12:50:43.530]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-43
[12:50:44.132]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-46
[12:50:44.735]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:44.735]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-27/BPN_4,-66/BPN_2,-47/BPN_3,-64
[12:50:44.735]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:0e,-86
[12:50:45.187]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-53
[12:50:45.639]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-41
[12:50:46.091]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-44
[12:50:46.843]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:46.843]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-26/BPN_4,-59/BPN_2,-48/BPN_3,-63
[12:50:46.843]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-44
[12:50:48.198]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-45
[12:50:48.950]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:48.950]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-26/BPN_4,-62/BPN_2,-33/BPN_3,-64
[12:50:48.950]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-40
[12:50:50.156]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-46
[12:50:51.059]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:51.059]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-26/BPN_4,-57/BPN_2,-49/BPN_3,-62
[12:50:51.059]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-53
[12:50:52.113]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-45
[12:50:52.716]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:0e,-85
[12:50:53.319]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:53.319]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-27/BPN_4,-65/BPN_2,-54/BPN_3,-64
[12:50:53.319]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-29
[12:50:53.771]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-28
[12:50:54.223]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-45
[12:50:54.975]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-46
[12:50:55.427]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:55.427]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-44
[12:50:56.180]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-47
[12:50:56.932]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-36
[12:50:57.536]	[<<-RECV] :175.223.31.149, 	0001GF000.0000F000.0000
[12:50:57.536]	[<<-RECV] :175.223.31.149, 	0001WBPN_1,-28/BPN_4,-62/BPN_2,-37/BPN_3,-61
[12:50:57.536]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:14,-42
[12:50:58.137]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:11,-44
[12:50:59.041]	[<<-RECV] :175.223.31.149, 	0001B50:8d:6f:b0:02:12,-44
