[11:03:45.995]	TCP Server Open (Port : 25007)
[11:05:17.735]	TCP Server Open (Port : 25007)
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-13/BPN_1,-41/BPN_4,-39/BPN_2,-27
[11:06:54.809]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-47
[11:06:55.561]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-48
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-13/BPN_1,-44/BPN_4,-37/BPN_2,-44
[11:06:56.765]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:06:57.517]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-61
[11:06:58.119]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-46
[11:06:58.721]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:06:58.721]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-56/BPN_1,-44/BPN_4,-41/BPN_2,-40
[11:06:58.721]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-28
[11:06:59.624]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-55
[11:07:00.075]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-47
[11:07:00.679]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-46
[11:07:01.282]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:01.282]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-42/BPN_1,-12/BPN_4,-44/BPN_2,-41
[11:07:01.733]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-62
[11:07:02.939]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:02.939]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:07:03.542]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-60
[11:07:04.143]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-46
[11:07:04.746]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:0e,-54
[11:07:05.197]	[<<-RECV] :39.7.52.142, 	0001GF000.0000F000.0000
[11:07:05.197]	[<<-RECV] :39.7.52.142, 	0001WBPN_3,-27/BPN_1,-41/BPN_4,-39/BPN_2,-40
[11:07:05.197]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-44
[11:07:05.649]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:14,-38
[11:07:06.101]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:11,-49
[11:07:07.005]	[<<-RECV] :39.7.52.142, 	0001B50:8d:6f:b0:02:12,-46
