[00:00:23.749]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:23.749]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:00:24.202]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:24.804]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:24.804]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:25.256]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:25.858]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:25.858]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:26.761]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:26.761]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-56
[00:00:27.212]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:27.814]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:27.814]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:28.265]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:28.868]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:29.320]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-46
[00:00:29.772]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:29.772]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:00:30.224]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:30.826]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:30.826]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:31.276]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:31.878]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:31.878]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:32.330]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:32.783]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:33.385]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:33.838]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:33.838]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:34.290]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:34.891]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:34.891]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-58
[00:00:35.343]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:35.795]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:35.795]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:00:36.247]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:36.850]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:36.850]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:37.301]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:37.752]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:37.752]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-50
[00:00:38.204]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:38.807]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:38.807]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-64
[00:00:39.259]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:39.862]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:39.862]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:40.314]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-54
[00:00:40.765]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:41.217]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:41.820]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:41.820]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-48
[00:00:42.272]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:00:42.874]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:42.874]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-55
[00:00:43.326]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:43.777]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:43.777]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:44.229]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
[00:00:44.830]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:44.830]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:14,-66
[00:00:45.282]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-47
[00:00:45.884]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:46.636]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:46.636]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-55
[00:00:47.088]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-48
[00:00:47.540]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-48
[00:00:47.991]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:47.991]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-47
[00:00:48.443]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-52
[00:00:49.045]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:49.045]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:12,-50
[00:00:49.496]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:11,-49
[00:00:49.948]	[<<-RECV] :39.7.52.91, 	0001GF035.5638F129.2800
[00:00:49.948]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:0e,-51
[00:00:50.400]	[<<-RECV] :39.7.52.91, 	0001B50:8d:6f:b0:02:10,-51
